,Benefits & Pensions,HMRC,Investment,HMRC Administration,241,b,,,,241
,Benefits & Pensions,HMRC,Investment,Valuation Office Administration ,9,b,,,,9
,Intl relations & Defence,Defence,Day-to-day Spending,Infrastructure & depreciation,12398,b,,,,12398
,Intl relations & Defence,Defence,Day-to-day Spending,Service Personnel,9588,b,,,,9588
,Intl relations & Defence,Defence,Day-to-day Spending,"Equipment, Inventory and R&D",9009,b,,,,9009
,Intl relations & Defence,Defence,Day-to-day Spending,Civilian Personnel,2057,b,,,,2057
,Intl relations & Defence,Defence,Day-to-day Spending,Operations Costs,328,b,,,,328
,Intl relations & Defence,Defence,Day-to-day Spending,Other,3327,b,,,,3327
,Intl relations & Defence,Defence,Investment,Single Use Military Equipment,4333,b,,,,4333
,Intl relations & Defence,Defence,Investment,Other Capital & Estate (net),2488,b,,,,2488
,Intl relations & Defence,Defence,Investment,Research & Development,1772,b,,,,1772
,Intl relations & Defence,Defence,Investment,Operations Costs,80,b,,,,80
,Intl relations & Defence,Defence,Investment,Other,87,b,,,,87
,Intl relations & Defence,International Development,Day-to-day Spending,Regional programmes,3437,b,,,,3437
,Intl relations & Defence,International Development,Day-to-day Spending,Policy priorities,2815,b,,,,2815
,Intl relations & Defence,International Development,Day-to-day Spending,European Union Attributed Fund,464,b,,,,464
,Intl relations & Defence,International Development,Day-to-day Spending,Operating costs,316,b,,,,316
,Intl relations & Defence,International Development,Day-to-day Spending,Other central programmes,273,b,,,,273
,Intl relations & Defence,International Development,Day-to-day Spending,"Conflict, Stability & Security Fund",104,b,,,,104
,Intl relations & Defence,International Development,Day-to-day Spending,Prosperity Fund,40,b,,,,40
,Intl relations & Defence,International Development,Day-to-day Spending,Scholarships,26,b,,,,26
,Intl relations & Defence,International Development,Day-to-day Spending,Government Equalities Office,21,b,,,,21
,Intl relations & Defence,International Development,Day-to-day Spending,Independent Commission for Aid,3,b,,,,3
,Intl relations & Defence,International Development,Investment,Policy priorities,2111,b,,,,2111
,Intl relations & Defence,International Development,Investment,CDC (UK Development Finance Institution),683,b,,,,683
,Intl relations & Defence,International Development,Investment,Regional programmes,524,b,,,,524
,Intl relations & Defence,International Development,Investment,Other central programmes,17,b,,,,17
,Intl relations & Defence,Foreign Affairs,Day-to-day Spending,Admin & programme,870,b,,,,870
,Intl relations & Defence,Foreign Affairs,Day-to-day Spending,Conflict Prevention,497,b,,,,497
,Intl relations & Defence,Foreign Affairs,Day-to-day Spending,Grants to third parties ,383,b,,,,383
,Intl relations & Defence,Foreign Affairs,Day-to-day Spending,Peacekeeping ,373,b,,,,373
,Intl relations & Defence,Foreign Affairs,Day-to-day Spending,British Council,164,b,,,,164
,Intl relations & Defence,Foreign Affairs,Day-to-day Spending,Prosperity Fund,57,b,,,,57
,Intl relations & Defence,Foreign Affairs,Day-to-day Spending,Net Funding for NDPBs,7,b,,,,7
,Intl relations & Defence,Foreign Affairs,Investment,Admin & programme,90,b,,,,90
,Intl relations & Defence,Foreign Affairs,Investment,Grants to third parties ,12,b,,,,12
,Intl relations & Defence,International Trade,Day-to-day Spending,Trade Policy,354,b,,,,354
,Intl relations & Defence,International Trade,Investment,Trade Policy,4,b,,,,4
,Intl relations & Defence,Exiting the EU,Day-to-day Spending,Exiting the European Union,92,b,,,,92
,Intl relations & Defence,Exiting the EU,Investment,Exiting the European Union,1,b,,,,1
,Infrastructure & Investment,Transport,Day-to-day Spending,Railways (net),8571,b,,,,8571
,Infrastructure & Investment,Transport,Day-to-day Spending,Roads (net),2510,b,,,,2510
,Infrastructure & Investment,Transport,Day-to-day Spending,"Aviation, maritime & security (net)",426,b,,,,426
,Infrastructure & Investment,Transport,Day-to-day Spending,Local Authority Transport,373,b,,,,373
,Infrastructure & Investment,Transport,Day-to-day Spending,Buses,260,b,,,,260
,Infrastructure & Investment,Transport,Day-to-day Spending,"Administration, research & support",204,b,,,,204
,Infrastructure & Investment,Transport,Day-to-day Spending,High Speed Two,202,b,,,,202
,Infrastructure & Investment,Transport,Day-to-day Spending,Other transport funding (net),142,b,,,,142
,Infrastructure & Investment,Transport,Investment,Railways (net),5472,b,,,,5472
,Infrastructure & Investment,Transport,Investment,High Speed Two,2991,b,,,,2991
,Infrastructure & Investment,Transport,Investment,Roads (net),2690,b,,,,2690
,Infrastructure & Investment,Transport,Investment,Local Authority Transport,1338,b,,,,1338
,Infrastructure & Investment,Transport,Investment,"Administration, research & support",58,b,,,,58
,Infrastructure & Investment,Transport,Investment,"Aviation, maritime & security (net)",30,b,,,,30
,Infrastructure & Investment,Transport,Investment,London,18,b,,,,18
,Infrastructure & Investment,Transport,Investment,Buses,3,b,,,,3
,Infrastructure & Investment,Transport,Investment,Other transport funding (net),784,b,,,,784
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Administration & central functions,483,b,,,,483
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Nuclear decommissioning,384,b,,,,384
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Industrial strategy & investment,316,b,,,,316
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Science & research,224,b,,,,224
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Competition & markets,147,b,,,,147
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Energy affordability,54,b,,,,54
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Tackling climate change,40,b,,,,40
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Security of energy supply,13,b,,,,13
,Infrastructure & Investment,Business & Energy,Day-to-day Spending,Other energy legacy,276,b,,,,276
,Infrastructure & Investment,Business & Energy,Investment,Science & research,7951,b,,,,7951
,Infrastructure & Investment,Business & Energy,Investment,Nuclear decommissioning,1851,b,,,,1851
,Infrastructure & Investment,Business & Energy,Investment,Industrial strategy & investment,427,b,,,,427
,Infrastructure & Investment,Business & Energy,Investment,Tackling climate change,255,b,,,,255
,Infrastructure & Investment,Business & Energy,Investment,Administration & central functions,226,b,,,,226
,Infrastructure & Investment,Business & Energy,Investment,Energy affordability,43,b,,,,43
,Infrastructure & Investment,Business & Energy,Investment,Security of energy supply,0,b,,,,0
,Infrastructure & Investment,Business & Energy,Investment,Other energy legacy,16,b,,,,16
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Improve the environment,529,b,,,,529
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Departmental operating costs,404,b,,,,404
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Flood protection,326,b,,,,326
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Food & farming,216,b,,,,216
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,"Animal, fish & plant health",197,b,,,,197
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Rural services,137,b,,,,137
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Flood protection,431,b,,,,431
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Departmental operating costs,66,b,,,,66
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Improve the environment,62,b,,,,62
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Rural services,34,b,,,,34
,Infrastructure & Investment,"Environment, Food & Rural",Investment,"Animal, fish & plant health",15,b,,,,15
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Food & farming,5,b,,,,5
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,"Crime, Policing & Fire",8675,b,,,,8675
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,Office for Security & Counter terrorism,775,b,,,,775
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,Enablers,593,b,,,,593
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,Border Force & immigration (net),344,b,,,,344
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,Arms length bodies (net),100,b,,,,100
,"Criminal Justice, Borders & Fire ",Home Office,Investment,Border Force & immigration (net),156,b,,,,156
,"Criminal Justice, Borders & Fire ",Home Office,Investment,"Crime, Policing & Fire",151,b,,,,151
,"Criminal Justice, Borders & Fire ",Home Office,Investment,Office for Security & Counter terrorism,131,b,,,,131
,"Criminal Justice, Borders & Fire ",Home Office,Investment,Enablers,3,b,,,,3
,"Criminal Justice, Borders & Fire ",Home Office,Investment,Arms length bodies (net),1,b,,,,1
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Prisons & Probation,3920,b,,,,3920
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Courts & Tribunals,1582,b,,,,1582
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,"Other (net) inc Legal Aid, policy & income",1420,b,,,,1420
,"Criminal Justice, Borders & Fire ",Justice,Investment,Courts & Tribunals,227,b,,,,227
,"Criminal Justice, Borders & Fire ",Justice,Investment,Prisons & Probation,153,b,,,,153
,"Criminal Justice, Borders & Fire ",Justice,Investment,"Other (net) inc Legal Aid, policy & income",152,b,,,,152
,Central Government,Cabinet Office,Day-to-day Spending,Government efficiency & workforce,116,b,,,,116
,Central Government,Cabinet Office,Day-to-day Spending,HMG delivery & PM's priorities,108,b,,,,108
,Central Government,Cabinet Office,Day-to-day Spending,"The Union, security & democracy",70,b,,,,70
,Central Government,Cabinet Office,Day-to-day Spending,Administration & cross-cutting work,63,b,,,,63
,Central Government,Cabinet Office,Day-to-day Spending,Government Property Agency ,38,b,,,,38
,Central Government,Cabinet Office,Day-to-day Spending,Elections,7,b,,,,7
,Central Government,Cabinet Office,Day-to-day Spending,Arms Length Bodies,3,b,,,,3
,Central Government,Cabinet Office,Day-to-day Spending,UK Members of European Parliament,3,b,,,,3
,Central Government,Cabinet Office,Investment,Government efficiency & workforce,19,b,,,,19
,Central Government,Cabinet Office,Investment,"The Union, security & democracy",6,b,,,,6
,Central Government,Cabinet Office,Investment,Administration & cross-cutting work,2,b,,,,2
,Central Government,Cabinet Office,Investment,Government Property Agency ,2,b,,,,2
,Central Government,Cabinet Office,Investment,HMG delivery & PM's priorities,1,b,,,,1
,Central Government,Treasury,Day-to-day Spending,Core Treasury,113,b,,,,113
,Central Government,Treasury,Day-to-day Spending,Debt Management Office,19,b,,,,19
,Central Government,Treasury,Day-to-day Spending,UK Government Investments & UKFI,13,b,,,,13
,Central Government,Treasury,Day-to-day Spending,Asian Infrastructure Investment Bank,9,b,,,,9
,Central Government,Treasury,Day-to-day Spending,Banking & gilts registration services ,7,b,,,,7
,Central Government,Treasury,Day-to-day Spending,National Infrastructure Commission,5,b,,,,5
,Central Government,Treasury,Day-to-day Spending,Office for Budget Responsibility,3,b,,,,3
,Central Government,Treasury,Day-to-day Spending,Other,3,b,,,,3
,Central Government,Treasury,Investment,Core Treasury,138,b,,,,138
,Central Government,Treasury,Investment,Asian Infrastructure Investment Bank,80,b,,,,80
,Central Government,Treasury,Investment,Debt Management Office,5,b,,,,5
,Devolved Administrations,Scotland,Day-to-day Spending,Cash grant,17324,b,,,,17324
,Devolved Administrations,Scotland,Day-to-day Spending,Payover of income tax to Scotland,12115,b,,,,12115
,Devolved Administrations,Scotland,Day-to-day Spending,Scotland Office,9,b,,,,9
,Devolved Administrations,Northern Ireland,Day-to-day Spending,Cash grant,15602,b,,,,15602
,Devolved Administrations,Northern Ireland,Day-to-day Spending,N. Ireland Office,22,b,,,,22
,Devolved Administrations,Wales,Day-to-day Spending,Cash grant,14554,b,,,,14554
,Devolved Administrations,Wales,Day-to-day Spending,Wales Office,5,b,,,,5
Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
